CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
New York,East Harlem; in front of Central Park East 1 school,NY,US,2017-05-05,dozens,24,,24,,,parents,want principal removed,0,protest,0,0,0,0,0,1,http://pix11.com/2017/05/06/parents-pull-kids-from-harlem-school-in-one-day-protest-of-principal-they-say-is-destroying-it/,,,
Waco,Indian Spring Park; marched down University Parks Drive,TX,US,2017-05-06,dozens,24,,24,,,Waco Immigrants Alliance,pro-immigrants,1,march; rally,0,0,0,0,1,1,http://www.kwtx.com/content/news/Waco-Middle-school-student-hosts-protest-march-with-Waco-Immigration-Alliance-421545033.html,,,
Houston,outside of office of US Rep. John Culberson,TX,US,2017-05-07,dozens,24,,24,,,general protestors; Houston Democratic Socialists of America,against House health care bill,1,protest,0,0,0,0,1,1,http://www.chron.com/business/article/Protests-target-Culberson-s-yes-vote-for-GOP-11128430.php,,,
Richmond,U.S. Circuit Court of Appeals,VA,US,2017-05-08,dozens,24,,24,,,general protestors,against Trump's travel ban,1,protest,0,0,0,0,1,1,http://www.richmond.com/news/photos-protest-over-travel-ban-outside-u-s-court-of/collection_e3c8e7df-561a-53d0-812d-4cd370571c49.html#11,Photo count,,http://wtop.com/travel/2017/05/trumps-muslim-comments-haunt-travel-ban-appeal/
Riverbank,protest outside a meet and greet with Rep. Jeff Denham,CA,US,2017-05-09,dozens; about 250,24,,250,,,general protestors,against Jeff Denham's support of AHCA,1,protest,0,0,0,0,1,1,http://www.mercurynews.com/2017/05/09/jeff-denham-angry-crowd-after-obamacare-repeal-vote/,,,
Shrewsbury,outside the White Street facility,NJ,US,2017-05-10,dozens,24,,24,,,general protestors,location of new drug rehab facility,0,protest,0,0,0,0,1,1,http://abc7ny.com/health/dozens-protest-location-of-nj-substance-abuse-center/1980107/,,,
Willingboro,outside the Willingboro center,NJ,US,2017-05-10,dozens,24,,24,,,New Jersey Citizen Action,protest Rep. Tom MacArthur's support for House health care bill,1,rally,0,0,0,0,1,1,http://www.nj.com/politics/index.ssf/2017/05/macarthurs_obamacare_repeal_to_draw_brickbats_at_t.html,http://www.nydailynews.com/newswires/news/business/latest-gop-lawmaker-didn-defend-trump-article-1.3154175,,
New Orleans,at Jefferson Davis statue,LA,US,2017-05-11,some dozens,24,,24,,,general protestors,in support of removal of Jefferson Davis statute,0,protest,0,0,0,0,1,1,https://www.washingtonpost.com/news/post-nation/wp/2017/05/11/jefferson-davis-disappears-as-new-orleans-removes-another-tribute-to-the-lost-cause-of-the-confederacy/?utm_term=.01312b34bbcd,,,
New Orleans,at Jefferson Davis statue,LA,US,2017-05-11,handful; dozens,24,,24,,,general protestors,against removal of Jefferson Davis statute,0,protest,3,0,0,0,0,1,https://www.washingtonpost.com/news/post-nation/wp/2017/05/11/jefferson-davis-disappears-as-new-orleans-removes-another-tribute-to-the-lost-cause-of-the-confederacy/?utm_term=.01312b34bbcd,http://www.foxnews.com/us/2017/05/11/new-orleans-removes-2nd-4-confederate-statues.html,,
Charlottesville,Lee Park,VA,US,2017-05-13,several dozens,24,,24,,,general protestors,white supremacy; pro-Confederacy,0,protest,0,0,0,0,1,1,http://www.nbcnews.com/news/us-news/white-nationalist-leads-torch-bearing-protesters-against-removal-confederate-statue-n759266,http://www.dailyprogress.com/news/local/torch-wielding-protesters-gather-at-lee-park/article_201dc390-384d-11e7-bf16-fb43de0f5d38.html,,
Charlottesville,Procession throughout the city,VA,US,2017-05-13,dozens,24,,24,,,general protestors,protest removal of Robert E. Lee statue,2,protest,0,0,0,0,0,1,http://www.npr.org/sections/thetwo-way/2017/05/14/528363829/richard-spencer-leads-group-protesting-sale-of-confederate-statue,,,
Charlottesville,Lee Park,VA,US,2017-05-13,dozens,24,,24,,,general protestors,counter protests,1,protest,0,0,0,0,0,1,http://www.npr.org/sections/thetwo-way/2017/05/14/528363829/richard-spencer-leads-group-protesting-sale-of-confederate-statue,,,
Dallas,outside City Hall,TX,US,2017-05-14,dozens,24,,24,,,general protestors,against new TX anti-sanctuary city law,1,protest,0,0,0,0,1,1,https://www.dallasnews.com/news/dallas/2017/05/14/downtown-dallas-crowd-protests-texas-new-sanctuary-cities-ban,,,
Baltimore,Outside city hall,MD,US,2017-05-15,dozens,24,,24,,,general protestors,rally supporting a construction project,0,rally,0,0,0,0,1,1,http://www.baltimoresun.com/business/bs-bz-state-center-rally-20170515-story.html,,,
Orlando,outside City Hall,FL,US,2017-05-15,dozens,24,,24,,,general protestors; Sons of the Confederacy,supporters of confederate symbols,0,protest,0,0,0,0,1,1,http://www.clickorlando.com/news/confederate-statue-in-orlando-sparks-protest-debate,,,
Seattle,US Court of Appeals,WA,US,2017-05-15,dozens,24,,24,,,general protestors,against Trump's travel ban,1,protest,0,0,0,0,1,1,http://www.reuters.com/article/us-usa-immigration-court-idUSKCN18B0RB?il=0,pic count,,
Pasadena,"Campus of Caltech, Astronomy Department",CA,US,2017-05-16,several dozen,24,,24,,,undergraduate students,protest against the return of a professor accused of harrassing female graduate students,0,protest,0,0,0,0,1,1,https://www.insidehighered.com/quicktakes/2017/05/18/caltech-students-protest-known-harassers-return,,,
Hazelwood,Hazelwood West High School,MO,US,2017-05-17,nearly 2 dozen,24,,24,,,high school students,against suspension of students who walked out in support of teacher contract negotiations,0,protest,0,0,0,0,1,1,http://fox2now.com/2017/05/17/new-protest-planned-after-student-march-leads-to-suspensions/,,,
San Francisco,UC Board of Regents Meeting at UCSF Mission Bay campus,CA,US,2017-05-17,dozens,24,,96,,,UC students; UC workers,disrupted meeting to protest increased tuition and fees  in light of recent audit of UC President's office,0,rally,0,0,0,0,1,1,http://www.sfgate.com/news/article/Students-protesting-hidden-funds-shut-down-UC-11152991.php,,,
Pompano Beach,Pompona Beach,FL,US,2017-05-20,dozens,24,,24,,,general protestors,protesting off-shore drilling,0,protest,0,0,0,0,1,1,http://wsvn.com/news/local/dozens-hold-hands-on-pompano-beach-to-protest-offshore-drilling/,,,
San Antonio,The Alamo,TX,US,2017-05-22,dozens,24,,24,,,War Affected Minds Group,to remember Fallen Firefighter Scott Deem,0,march; vigil,0,0,0,0,1,1,http://foxsanantonio.com/news/local/dozens-march-through-downtown-to-remember-ff-scott-deem,,,
Gainesville,downtown,FL,US,2017-05-23,dozens,24,,24,,,general protestors,protect confederate statue,0,protest,0,0,0,0,1,1,http://www.wcjb.com/local-news/2017/05/fate-confederate-soldier-statue-yields-protest,,,
Las Vegas,Intersection of Sahara Avenue and Paseo Del Prado,NV,US,2017-05-24,more than 2 dozen,24,,24,,,general protest,fight for 15,1,protest,0,0,0,0,1,1,https://lasvegassun.com/news/2017/may/24/las-vegas-rally-for-minimum-wage-hike-part-of-nati/,,,
Miskawaka,Rep. Jackie Walorski's office,IN,US,2017-05-24,dozens,24,,24,,,general protestors,against Rep. Jackie Walorski's support of AHCA,1,protest; die-in,0,0,0,0,1,1,http://www.southbendtribune.com/multimedia/photos/photos-die-in-protest-at-rep-walorski-s-office/collection_96f860a6-40d6-11e7-bd3e-175716308594.html#3,,,
Bay City,Wenonah Park,MI,US,2017-05-25,dozens,24,,24,,,general protestors,rally for legalization of marijuana,0,rally,0,0,0,0,1,1,http://www.mlive.com/news/bay-city/index.ssf/2017/05/rally_for_recreational_use_of.html,,,
Memphis,downtown,TN,US,2017-05-25,dozens,24,,24,,,general protestors,against visit by US Atty General Sessions,1,protest,0,0,0,0,1,1,http://wreg.com/2017/05/25/dozens-protest-outside-attorney-generals-memphis-meeting/,,,
New York,midtown Manhattan,NY,US,2017-05-25,dozens,24,,24,,,right wing demonstrators,to protest a university's decision to invite a Palestinian-American activist to deliver its graduation speech,0,protest,0,0,0,0,1,1,https://www.reuters.com/article/us-usa-terror-protests-idUSKBN18L2UQ,http://www.mrctv.org/blog/protests-erupt-after-school-taps-linda-sarsour-commencement-speaker,,
Chicago,Gary/Chicago International Airport,IL,US,2017-05-26,dozens,24,,24,,,Northwest Indiana Resist,protest Immigration and Customs Enforcement flights deporting people out of the country,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/post-tribune/news/ct-ptb-gary-deportation-protest-st-0527-20170525-story.html,,,
Appleton,Houdini Plaza,WI,US,2017-05-27,dozens,24,,24,,,general protestors,in response to a police shooting of Jimmy Sanders,0,protest,0,0,0,0,1,1,http://www.nbc26.com/news/protesters-voice-their-want-for-action-after-appleton-shooting,,,
Austin,outside Texas governor's mansion,TX,US,2017-05-28,dozens; around 50,24,,50,,,general protestors,"protest against Texas Senate BIll 4, which opponents describe as an anti-""sanctuary city"" law requiring Texas police chiefs and sheriffs to comply with all federal immigration enforcement requests",1,rally,0,0,0,0,1,1,https://www.texasobserver.org/3-m-sanctuary-protest-governor-abbotts-mansion-blares-mariachi-music/,,,3:00 AM
Dallas,outside US Sen. John Cornyn offfice,TX,US,2017-05-31,about 2 dozen,24,,24,,,general protestors,against House health care bill; pro-Obamacare,1,protest,0,0,0,0,1,1,http://dfw.cbslocal.com/2017/05/31/protesters-texas-senator-dallas-office/,,,
Lexington,Triangle Park,KY,US,2017-05-31,dozens; about 175,24,,175,,,general protestors,support addressing climate change; anti-Trump policies,1,protest,0,0,0,0,1,1,http://www.wkyt.com/content/news/Protest-to-continue-425512004.html,http://www.kentucky.com/news/state/article153657499.html,,
Ripon,,CA,US,2017-05-31,about 2 dozen,24,,24,,,general protestors,against cell tower on school grounds,0,protest,0,0,0,0,1,1,http://fox40.com/2017/05/31/after-2-ripon-children-diagnosed-with-cancer-kids-and-parents-protest-cell-tower-on-school-grounds/,,,
New Haven,"College/Chapel, Grove/Prospect and York/Elm streets",CT,US,2017-05-11,na,23,,23,,,Yale University’s graduate student union Local 33,against sexual harrassment,0,protest,23,0,0,0,1,1,http://www.nhregister.com/general-news/20170511/23-union-protesters-arrested-in-new-haven-after-shutting-down-intersections,,,civil dis
Harrisburg,State Capitol building,PA,US,2017-05-22,,23,,200,,,March on Harrisburg,"protesting gifts, political graft, corruption, and gerrymandering",0,protest,23,0,0,0,1,1,http://www.philly.com/philly/news/politics/state/protest-arrest-harrisburg-lobbyists-gifts.html,http://fox43.com/2017/05/23/23-arrested-in-pa-capitol-protest/,,
Minneapolis,Nicollet Mall near 3rd Street,MN,US,2017-05-01,about 20,20,,20,,,Movimiento Cosecha,May Day; pro-immigrants,1,march; protest,0,0,0,0,0,1,http://www.startribune.com/may-day-becomes-march-day-rallies-around-minneapolis-on-immigration-housing/420908343/,,,
Pittsburgh,Homewood,PA,US,2017-05-04,about 20,20,,20,,,community members,protesting new housing development,0,protest,0,0,0,0,1,1,http://www.post-gazette.com/local/city/2017/05/04/Homewood-residential-development-protests-Pittsburgh-gentrification/stories/201705040157,,,
Baton Rouge,outside the Baton Rouge Police Department headquarters,LA,US,2017-05-06,about 20,20,,20,,,New Black Panther Party,protest death of Alton Sterling,0,protest,0,0,0,0,1,1,http://www.theadvocate.com/baton_rouge/news/alton_sterling/article_735fb4da-3296-11e7-b824-cbf57a63beb1.html,,,
Rochester,Civic Center Drive NW and 11th Ave,MN,US,2017-05-12,about 20,20,,20,,,general protestor,anti-Trump,1,protest,0,0,0,0,1,1,http://www.postbulletin.com/news/local/rush-hour-demonstrators-protest-trump/article_55a19320-f856-5ffd-9c82-9eec79dbeb0b.html,,,
Casper,Conwell Park across from Wyoming Medical Center,WY,US,2017-05-12,about 20,20,,20,,,general protestors,against AHCA,1,die-in,0,0,0,0,1,1,http://k2radio.com/casper-residents-hold-die-in-to-protest-proposed-health-care-act/,,,
Kansas City,downtown,MO,US,2017-05-13,na,20,,20,,,general protestors; local mothers,Mothers against gun violence; response to killing of local 3 year old,1,march,0,0,0,0,0,1,http://www.kctv5.com/story/35422364/can-you-see-me-now-rally-works-to-stop-fatal-motorcycle-accidents,,,
Warren,,RI,US,2017-05-13,some 20,20,,20,,,Members of the Pokanoket tribe,"protesting a Wampanoag event, the reinterment of Massasoit Ousameequin",0,protest,0,0,0,0,1,1,http://www.providencejournal.com/news/20170515/ri-tribe-protests-repatriation-ceremony,,,
Newton,,NC,US,2017-05-27,about 20,20,,20,,,general protestors,protest speech that had called for confinement of gays,0,protest,0,0,0,0,0,1,http://www.wisconsingazette.com/news/protesters-demonstrate-against-anti-gay-n-c-pastor/article_09fb649e-d592-59cf-9e8e-36e02e986d04.html,,,
Sandisfield,Otis State Forest,MA,US,2017-05-02,na,18,,18,,,"""Sugar Shack Alliance""",against Connecticut expansion gas pipeline project,1,protest,18,0,0,0,1,1,http://valleyadvocate.com/2017/05/01/fracked-gas-protesters-arrested-otis-state-forrest/,http://www.masslive.com/news/index.ssf/2017/05/pipeline_protesters_form_human.html,,
Wausau,outside Rep. Sean Duffy's office,WI,US,2017-05-04,na,17,,17,,,North Central Organizing Co-Op,against House health care bill,1,rally,0,0,0,0,1,1,http://wsau.com/news/articles/2017/may/04/protests-outside-of-congressman-duffys-wausau-office/,,,counted pic
Belgrade,Belgrade High School,MT,US,2017-05-12,na,16,,16,,,high school students,against sexist dress codes,0,protest,0,0,0,0,1,1,https://www.yahoo.com/style/high-school-students-protest-sexist-dress-code-184909487.html,,,
Plattsburgh,Clinton Community College,NY,US,2017-05-04,about 15,15,,15,,,Clinton Community College students,protest professor's layoff,0,protest,0,0,0,0,1,1,http://www.pressrepublican.com/news/local_news/ccc-students-protest-layoff-of-popular-teacher/article_bb0484b0-5c04-57aa-8d38-4fb9052e97a8.html,,,
Austin,outside capitol,TX,US,2017-05-05,about 15,15,,15,,,general protestors,against House health care bill,1,protest,0,0,0,0,1,1,http://www.mystatesman.com/news/national-govt--politics/opposition-gop-health-care-plan-fuels-small-rally-texas-capitol/09efAGSA4v7G6cZdU6R3EL/,,,
San Diego,Downtown,CA,US,2017-05-01,about a dozen,12,,12,,,general protestors,pro-Trump counter protestors,2,rally,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/education/sd-me-may-day-20170428-story.html,,,
York,in front of state Sen. Scott Wagner’s (R) office on George Street,PA,US,2017-05-01,a dozen,12,,12,,,general protestors,May Day,1,rally,0,0,0,0,1,1,http://www.yorkdispatch.com/story/news/2017/05/01/socialist-immigrant-groups-plan-may-day-events-marches/101150134/,,,
US,sidewalk outside of the Madison Club,WI,US,2017-05-03,about a dozen,12,,12,,,general protestors,against Prof. Charles Murray talk,0,protest,0,0,0,0,1,1,http://host.madison.com/wsj/news/local/education/university/small-protest-but-no-disruptions-at-charles-murray-speech-hosted/article_e5f1003a-65a0-564b-b094-5068ae3bdc26.html,,,
Madison,Madison Club,WI,US,2017-05-03,over a dozen,12,,12,,,general protestors,protesting a Charles Murray speech,0,protest,0,0,0,0,1,1,http://www.dailycardinal.com/article/2017/05/controversial-political-scientist-continues-with-speech-despite-small-protest-outside,,,
Augusta,outside the Maine Department of Inland Fisheries & Wildlife offices,ME,US,2017-05-05,about a dozen,12,,12,,,general protestors,questioning how dept has handled a zoo; animal rights,0,protest,0,0,0,0,1,1,http://www.pressherald.com/2017/05/05/animal-rights-activists-protest-in-augusta/,,,
Grand Forks,sidewalk in front of Grand Forks County Courthouse,ND,US,2017-05-05,more than a dozen,12,,12,,,general protestors,sexual assault awareness,0,protest,0,0,0,0,1,1,http://www.grandforksherald.com/news/local/4262357-sex-assaults-ignored-prosecutors-demonstrators-say,,,
Imperial Beach,"beach to Tijuana, Mexico",CA,US,2017-05-05,na,12,,12,,,swimmers,show of solidarity with immigrants,1,swim protest,0,0,0,0,1,1,http://www.kitv.com/story/35361307/athletes-swim-across-us-mexico-border-in-immigrant-rights-protest,http://www.latimes.com/local/lanow/la-me-border-swim-20170506-story.html,,
Muskogee,Outside restaurant,OK,US,2017-05-08,about a dozen,12,,12,,,general protestors,protesting congressman's vote for AHCA,1,protest; die-in,0,0,0,0,1,1,http://www.muskogeephoenix.com/news/local_news/mullin-visit-draws-protesters-opposing-ahca/article_adc9f130-145a-57d6-a1f5-dd44e694fb4f.html,,,
Muskogee,Cowboy's BBQ,AZ,US,2017-05-09,about a dozen,12,,12,,,general protestors,against Sen. Mullin's support of AHCA,1,protest; die-in,0,0,0,0,1,1,http://www.tahlequahdailypress.com/news/local_news/mullin-visit-draws-protesters-opposing-ahca/article_263b4644-e51a-5d80-a2f8-b4f61ceeb459.html,,,
Tuscaloosa,outside Central Elementary,AL,US,2017-05-09,nearly a dozen,12,,12,,,Tuscaloosa County chapter of the NAACP,support new school construction,0,protest,0,0,0,0,1,1,http://www.tuscaloosanews.com/news/20170510/protest-held-outside-central-elementary,,,
Lincoln,outside of Senator Ben Sasse’s office,NE,US,2017-05-10,more than a dozen,12,,12,,,general protestors,against Comey (FBI) firing,1,protest,0,0,0,0,1,1,http://www.1011now.com/content/news/Protest-outside-of-Senator-Ben-Sasses-office-tonight-demand-action-421943664.html,,,
Rockville Center,near Rockville Center train station,NY,US,2017-05-13,dozens; more than 100,12,,100,,,Amtrak commuters,commute reform at Penn Station,2,rally,0,0,0,0,1,1,http://pix11.com/2017/05/13/commuters-lawmakers-rally-for-a-sane-commute-after-recent-derailments-delays-at-penn-station/,http://newyork.cbslocal.com/2017/05/13/lirr-commuter-rockville-centre-rally/,,
Cuyahoga Falls,outside Cuyahoga Falls High School,OH,US,2017-05-16,na,12,,12,,,Cuyahoga Falls High School students,against proposed teacher layoffs,0,protest,0,0,0,0,1,1,http://www.recordpub.com/news%20local/2017/05/16/cuyahoga-falls-students-protest-layoffs,,,counted from pic
Los Angeles,outside the home of US Rep. Maxine Waters (D-CA),CA,US,2017-05-17,more than a dozen,12,,12,,,Latinos for Trump; general protestors,impeach Waters because she called for impeaching Trump,2,protest,0,0,0,0,1,1,http://www.americanow.com/story/politics/2017/05/17/protesters-call-maxine-waters-impeachment,,,
Pittsburgh,DCK Worldwide's Pittsburg office,PA,US,2017-05-18,dozen,12,,12,,,general protestors,to urge companies not to profit from border wall,1,protest,0,0,0,0,1,1,http://www.pghcitypaper.com/Blogh/archives/2017/05/18/pittsburghers-protest-local-firm-dck-worldwide-tied-to-detention-center-construction,,,
St. Paul,steps of Derham Hall at St. Catherine University,MN,US,2017-05-18,about a dozen,12,,12,,,students,protesting the school's decision to cut music and theater programs,0,protest; sing-in,0,0,0,0,1,1,http://www.startribune.com/st-kate-s-music-theater-students-protest-demise-of-degrees-with-performances/422979913/,,,
Cedar Rapids,,IA,US,2017-05-21,about 12,12,,12,,,general protestors,anti-AHCA,1,rally;protest,0,0,0,0,1,1,http://www.thegazette.com/subject/news/health/cedar-rapids-rally-calls-for-medicare-for-all-20170521,,,
Jefferson City,State Capitol,MO,US,2017-05-03,eleven,11,,11,,,women,protesting cuts to abortion funding,1,protest,0,0,0,0,1,1,http://www.newstribune.com/news/missouri/story/2017/may/03/women-dressed-handmaids-tale-garb-protest-capitol/672477/,,,
Alamogordo,"outside the County Administration Building, 1101 N. New York Ave",NM,US,2017-05-12,some,10,,10,,,general protestors,against deep borehole project,0,protest,0,0,0,0,1,1,http://www.alamogordonews.com/story/news/local/community/2017/05/24/doe-axes-otero-county-borehole-project/102118972/,,,
Louisville,EMW Women's Surgical Center,KY,US,2017-05-13,na,10,,10,,,Operation Save America,anti-abortion,2,protest,10,0,0,0,1,1,https://www.usnews.com/news/best-states/kentucky/articles/2017-05-13/protesters-arrested-for-blocking-entrance-to-abortion-clinic,http://www.courier-journal.com/story/news/local/2017/05/13/arrests-made-protest-louisville-abortion-clinic-saturday/321109001/,,
Tulsa,intersection of Main and Third Streets,OK,US,2017-05-20,about 10,10,,10,,,general protestors,protest against the acquittal of a white police officer in a police shooting,0,protest; die-in,0,0,0,0,1,1,http://www.tulsaworld.com/homepagelatest/group-feigns-death-at-mayfest-to-protest-betty-shelby-verdict/article_447eb337-883e-5cab-bdfa-d4897342b4e3.html,,,
Appleton,outside U.S. Rep. Mike Gallagher's office,WI,US,2017-05-04,na,9,,9,,,Citizen Action Organizing Cooperative of Northeast Wisconsin,against House health care bill,1,protest,0,0,0,0,1,1,http://fox11online.com/news/political/protesters-in-fox-valley-rally-against-health-care-vote,http://www.nbc26.com/news/protests-in-appleton-in-response-to-congress-health-care-vote,,counted pic
Bend,Outside rep. Greg Walden's office,OR,US,2017-05-12,about 9,9,,9,,,general protestors,against rep. Greg Walden's vote AHCA,1,protest; die in,0,0,0,0,1,1,http://www.ktvz.com/news/two-bend-die-ins-protest-walden-role-in-ahca/495400476,,,
New Haven,Yale’s Beinecke Plaza,CT,US,2017-05-01,na,8,,8,,,UNITE Here,against Yale's refusal of grad student unionization,1,protest; hunger strike,0,0,0,0,0,1,http://www.newhavenindependent.org/index.php/archives/entry/local_33_shedbuilders/,,,
Millersburg,Little Creek camp,IA,US,2017-05-27,small group,8,,24,,,protesters camping on private land,protesting against Dakota Access Pipeline,0,protest,0,0,0,0,1,1,http://www.kcrg.com/content/news/Group-continues-Dakota-Access-Pipeline-protest-at-camp-in-Iowa-County-424870704.html,,,
Gainesville,outside of US Rep. Ted Yoho’s office,FL,US,2017-05-30,na,8,,8,,,general protestors,anti-Trump,1,protest,0,0,0,0,1,1,http://www.alligator.org/news/article_bdb7d866-4658-11e7-82f2-57b60f52b411.html,,,count from pic
Boulder,inside Macky Auditorium on the Univerisity of Colorado,CO,US,2017-05-05,na,7,,7,,,East Boulder County United,anti-fracking,0,protest,0,0,0,0,1,1,http://www.dailycamera.com/news/boulder/ci_30969206/anti-fracking-group-protests-boulder-orchestra-over-oil,,,
Daytona Beach,at the corner of South Atlantic Avenue and Revilo Boulevard,FL,US,2017-05-06,About half a dozen,6,,6,,,general protestors,neighborhood blight,0,protest,0,0,0,0,1,1,http://www.news-journalonline.com/news/20170506/daytona-beach-protesters-want-to-take-bite-out-of-blight,,,
Otis,Otis State Forest,MA,US,2017-05-06,na,6,,6,,,general protestors,protesting the extension of the Tennessee Gas Pipeline,0,protest,6,0,0,0,1,1,https://www.bostonglobe.com/metro/2017/05/06/six-arrested-sandisfield-pipeline-protest/G1kVZfrPuGM2Ef3deYM5iN/story.html,,,(civil dis)
Wausau,Outside Shrine Circus,WI,US,2017-05-29,five,5,,5,,,general protestors,protesting the treatment of animals by circus,0,protest,0,0,0,0,1,1,http://www.waow.com/story/35542366/2017/05/29/small-protest-group-gathers-outside-shrine-circus,,,
Mount Pleasant,statewide march,MI,US,2017-05-24,three,3,,3,,,Michigan Residents,Month-long walk to protest water issues in MI,0,march;protest,0,0,0,0,3+,1,http://www.themorningsun.com/general-news/20170524/water-protesters-walking-through-michigan-come-through-alma,,,
Eureka,the steps of the Humboldt County courthouse,CA,US,2017-05-04,na,2,,2,,,general protestors,against House health care bill,1,protest,0,0,0,0,1,1,https://m.northcoastjournal.com/NewsBlog/archives/2017/05/04/huffman-humboldt-residents-decry-house-passage-of-trumpcare,,,
Washington,,DC,US,2017-05-11,na,2,,2,,,EPA independent reserarch board members,against the weakening of the integrity at EPA,1,protest resignation,0,0,0,0,1,1,http://www.reuters.com/article/us-usa-trump-epa-science-idUSKBN1882LX,,,
Topeka,University of Kansas,KS,US,2017-05-09,na,1,,1,,,Jacob Dorman PhD,against conceal-carry weapons policy on campus,1,protest; resignation,0,0,0,0,1,1,http://fox4kc.com/2017/05/05/ku-professor-resigns-in-light-of-concealed-carry-on-campus-calling-it-counterproductive-to-educational-mission/,,,
Carolina Forest,Horry County; side of Carolina Forest Blvd,SC,US,2017-05-11,na,1,,1,,,general protestor,against Waterbridge Homeowners Association,0,protest,0,0,0,0,1,1,http://www.wmbfnews.com/story/35428316/carolina-forest-resident-protests-hoa-on-side-of-road-for-3-days,,,
Washington,Trump International Hotel,DC,US,2017-05-15,na,1,,1,,,Robin Bell,against Trump,1,protest; art projection,0,0,0,0,1,1,http://www.latimes.com/entertainment/arts/miranda/la-et-cam-robin-bell-projections-20170516-story.html,,,
Vista,outside US Rep Darrell Issa's district office,CA,US,2017-05-30,na,1,,1,,,general protestor,pro-Trump,2,protest,0,0,0,0,1,1,http://www.sandiegouniontribune.com/communities/north-county/sd-no-issa-rooftop-20170530-story.html,,,
